Id,Ingredients,Ingredients_tr
8266,sausage your choice,seçtiğiniz sosis
8267,saut ed onion,sotelenmiş soğan
8268,sauteed hazelnut cranberry,sotelenmiş fındıklı kızılcık
8269,sauteed mushroom,sotelenmiş mantar
8270,sauteed shrimp paste,sotelenmiş karides ezmesi
8271,savory,lezzetli
8272,savory cereal snack mix,tuzlu tahıl atıştırmalık karışımı
8273,savory herb seasoned stuffing mix,tuzlu bitki terbiyeli doldurma karışımı
8274,savory snack mix cereal,tuzlu atıştırmalık karışımı tahıl
8275,savory vegetable broth,lezzetli sebze suyu
8276,savoy cabbage,savoy lahana
8277,sazon goya azafran,sazon goya azafran
8278,sazon goya coriander annatto,sazon goya kişniş annatto
8279,sazon liquido,sazon likidite
8280,sazon seasoning,sazon baharatı
8281,sazon seasoning achiote,sazon baharatı achiote
8282,sazon seasoning annato,sazon baharatı annato
8283,sazon seasoning annatto,sazon baharatı annatto
8284,sazon seasoning coriander achiote,sazon baharatı kişniş achiote
8285,sazon seasoning coriander annatto,sazon baharatı kişniş annatto
8286,sazon seasoning saffron,sazon baharatı safran
8287,sazonador total,Toplam 1 çay kaşığı sazonador (Goya'dan
8288,scalded milk,haşlanmış süt
8289,scallion,yeşil soğan
8290,scallion green,soğan yeşili
8291,scallion some top,üstüne biraz yeşil soğan
8292,scallop,tarak kabuğu
8293,scalloped potato,elma dilimli patates
8294,"scallops, and patted dry","kiloluk tarak, durulanmış ve kurulayın"
8295,scamorza cheese,Scamorza peyniri
8296,scape,kaçış
8297,scoop acai powder,acai tozu kepçe
8298,"scoop cake-flavored 100% whey protein powder (such as Optimum Nutrition"" Gold Standard 100% Whey","kek aromalı %100 peynir altı suyu protein tozu (Optimum Nutrition"" Gold Standard %100 Peynir Altı Suyu"" gibi"
8299,scoop shaped tortilla chip,kepçe şekilli tortilla cipsi
8300,scoop vanilla ice cream,vanilyalı dondurma top
8301,"scoops chocolate-flavored whey protein powder (such as ON"" Gold Standard","çikolata aromalı peynir altı suyu protein tozu (ON"" Gold Standard gibi"
8302,scotch bonnet chile pepper,İskoç kaportası şili biberi
8303,scotch bonnet pepper,İskoç kaporta biberi
8304,scotch bonnet sauce,hindistan cevizi sütü
8305,sea bass,levrek
8306,sea bass fillet,levrek filetosu
8307,sea salt,deniz tuzu
8308,sea salt coarsely pepper to,deniz tuzu kaba karabiber
8309,sea salt flake to,deniz tuzu tanesi
8310,sea salt kosher salt,deniz tuzu koşer tuzu
8311,sea salt pepper,deniz tuzu biber
8312,sea salt pepper to,deniz tuzu biber
8313,sea salt sea salt,deniz tuzu deniz tuzu
8314,sea salt to,deniz tuzu
8315,sea scallop,deniz tarağı
8316,seafood,deniz ürünleri
8317,seafood breader,deniz ürünleri ekmekçisi
8318,seafood cocktail sauce,deniz ürünleri kokteyl sosu
8319,seafood mix,deniz ürünleri karışımı
8320,seafood sauce,deniz ürünleri sosu
8321,seafood seasoning,deniz ürünleri baharatı
8322,"seafood seasoning, such as Old Bay","deniz ürünleri baharatı, örneğin Old Bay"
8323,seafood stock,deniz ürünleri stoku
8324,seared sea scallop each bowl soup,her kasede kurutulmuş deniz tarağı çorbası
8325,seashell pasta,deniz kabuklu makarna
8326,seasoned bean,terbiyeli fasulye
8327,seasoned beef loin tri tip roast,terbiyeli dana filetosu üç uçlu kızartma
8328,seasoned bread crumb,tecrübeli ekmek kırıntısı
8329,seasoned bread cube stuffing mix,tecrübeli ekmek küpü doldurma karışımı
8330,seasoned chicken,terbiyeli tavuk
8331,seasoned chicken broth,baharatlı tavuk suyu
8332,seasoned chicken cube,tecrübeli tavuk küpü
8333,seasoned chicken style vegetarian strip,tecrübeli tavuk tarzı vejetaryen şerit
8334,seasoned coating mix chicken,terbiyeli kaplama karışımı tavuk
8335,seasoned cornbread stuffing mix,tecrübeli mısır ekmeği doldurma karışımı
8336,seasoned crouton,terbiyeli kruton
8337,seasoned cube stuffing mix,tecrübeli küp doldurma karışımı
8338,seasoned dry bread crumbs,terbiyeli kuru ekmek kırıntısı
8339,seasoned fish fry coating,terbiyeli balık kızartması kaplama
8340,seasoned french fried potato,baharatlı Fransız kızarmış patates
8341,seasoned french fry,baharatlı patates kızartması
8342,seasoned goat cheese,baharatlı keçi peyniri
8343,seasoned korean seaweed,terbiyeli kore deniz yosunu
8344,seasoned meat tenderizer,tecrübeli et yumuşatıcı
8345,seasoned panko bread crumb,tecrübeli panko ekmek kırıntısı
8346,seasoned panko japanese style bread crumb,tecrübeli panko japon usulü ekmek kırıntısı
8347,seasoned pepper,terbiyeli biber
8348,seasoned pepper blend,baharatlı biber karışımı
8349,seasoned rice vinegar,tecrübeli pirinç sirkesi
8350,seasoned rice wine vinegar,tecrübeli pirinç şarabı sirkesi
8351,seasoned rye cracker,tecrübeli çavdar kraker
8352,seasoned salt,terbiyeli tuz
8353,seasoned salt blend,tecrübeli tuz karışımı
8354,seasoned salt to,terbiyeli tuz
8355,seasoned seaweed,tecrübeli deniz yosunu
8356,seasoned slivered almond,terbiyeli şeritli badem
8357,seasoned stuffing,terbiyeli doldurma
8358,seasoned stuffing mix,tecrübeli doldurma karışımı
8359,seasoned tomato,terbiyeli domates
8360,seasoned tomato sauce,baharatlı domates sosu
8361,seasoned tortilla chip,tecrübeli tortilla cipsi
8362,seasoning,baharat
8363,seasoning blend,baharat karışımı
8364,"seasoning blend (onions, celery, and green and red bell peppers",baharat karışımı
8365,seasoning blend to,baharat karışımı
8366,seasoning bouillon,baharat bulyon
8367,seasoning mix,baharat karışımı
8368,seasoning mix to,baharat karışımı
8369,seasoning salt,baharat tuzu
8370,seasoning sauce,baharat sosu
8371,seasoning to,baharatlamak
8372,seaweed,yosun
8373,seaweed flake granule,deniz yosunu pul granülü
8374,second spray cooking spray,ikinci sprey pişirme spreyi
8375,seed,tohum
8376,seed burger bun,tohum burger çöreği
8377,seed dog bun,tohumlu köpek çöreği
8378,seeded,tohumlanmış
8379,seedless blackberry jam,çekirdeksiz böğürtlen reçeli
8380,seedless cucumber,çekirdeksiz salatalık
8381,seedless english cucumber,çekirdeksiz ingilizce salatalık
8382,seedless grape,çekirdeksiz üzüm
8383,"seedless grapes,","çekirdeksiz üzüm, ikiye bölünmüş"
8384,seedless orange,çekirdeksiz portakal
8385,seedless raisin,çekirdeksiz kuru üzüm
8386,seedless raspberry jam,çekirdeksiz ahududu reçeli
8387,seedless raspberry preserve,çekirdeksiz ahududu konservesi
8388,seedless rye bread,çekirdeksiz çavdar ekmeği
8389,seedless strawberry jam,çekirdeksiz çilek reçeli
8390,seedless watermelon,çekirdeksiz karpuz
8391,segment,bölüm
8392,seitan,seitan
8393,self rising cornbread mix,kendiliğinden yükselen mısır ekmeği karışımı
8394,self rising cornmeal,kendiliğinden yükselen mısır unu
8395,self rising cornmeal mix,kendiliğinden yükselen mısır unu karışımı
8396,self rising flour,kendiliğinden yükselen un
8397,self rising gluten free flour,kendiliğinden yükselen glutensiz un
8398,self-rising flour,kendiliğinden yükselen un
8399,sella basmati rice,sella basmati pirinci
8400,seltzer,maden suyu
8401,seltzer water,maden suyu
8402,semi avocado,yarı avokado
8403,semi baking chocolate,yarı pişirme çikolata
8404,semi cheese garlic herb,yarı peynirli sarımsak otu
8405,semi chocolate,yarı çikolata
8406,semi chocolate chip,yarı çikolata parçacıklı
8407,semi chocolate chip chocolate,yarı çikolata parçacıklı çikolata
8408,semi chocolate mini baking chip,yarı çikolata mini pişirme çipi
8409,semi chocolate morsel,yarı çikolatalı lokma
8410,semi chocolate square,yarı çikolata kare
8411,semi pearled farro,yarı incili farro
8412,semisweet baking chocolate,yarı tatlı pişirme çikolatası
8413,semisweet belgian chocolate,yarı tatlı belçika çikolatası
8414,semisweet chocoalte chip,yarı tatlı çikolata parçacıklı
8415,semisweet chocolate,yarı tatlı çikolata
8416,semisweet chocolate bar,yarı tatlı çikolata
8417,semisweet chocolate chip,yarı tatlı çikolata parçacıkları
8418,semisweet chocolate chip other goody,yarı tatlı çikolata parçacıklı diğer güzellikler
8419,semisweet chocolate curl,yarı tatlı çikolatalı kıvırcık
8420,semisweet chocolate morsel,yarı tatlı çikolata lokması
8421,semisweet mini chocolate chip,yarı tatlı mini çikolata parçacıklı
8422,semolina,irmik
8423,semolina flour,irmik unu
8424,serrano chile,Serrano Şili
8425,serrano chile pepper,serrano şili biberi
8426,"serrano chile peppers,","serrano şili biberi,"
8427,serrano chili,serrano biber
8428,serrano chili pepper,"jalapeno veya serrano biber, ve"
8429,serrano jalapeno chily,serrano jalapeno biber
8430,serrano other chile,serrano diğer şili
8431,serrano pepper,serrano biberi
8432,serve pistolette roll,tabanca rulosu servis et
8433,serviceberry,Servis meyvesi
8434,sesame ginger seasoning,susam zencefil baharatı
8435,sesame halva,susam helvası
8436,sesame oil,susam yağı
8437,sesame paste,susam ezmesi
8438,sesame seed,susam
8439,sesame seed burger bun,susamlı hamburger ekmeği
8440,sesame seed oil,susam tohumu yağı
8441,sesame seed sandwich bun,susamlı sandviç çöreği
8442,sesame seed sprinkling,susam tohumu serpme
8443,sesame seed to,tatmak için terbiyeli susam tohumları
8444,sesame seeds,susam
8445,sesame tahini,susam tahin
8446,sesame vinaigrette,susamlı salata
8447,seven grain cereal,yedi taneli tahıl
8448,shallot,Arpacık soğanı
8449,shallot crisp,arpacık soğanı gevrek
8450,shallot onion,arpacık soğan
8451,shallot vinaigrette,arpacık soğanı sosu
8452,shamrock cottage cheese,yonca süzme peyniri
8453,shamrock heavy whipping cream,yonca ağır krem ​​şanti
8454,shamrock original cottage cheese,yonca orijinal süzme peynir
8455,shamrock premium cream,yonca premium kreması
8456,shank,incik
8457,shark fillet,köpekbalığı filetosu
8458,sharp aged cheddar cheese,keskin eski kaşar peyniri
8459,sharp cheddar cheese,keskin kaşar peyniri
8460,"sharp Cheddar cheese (such as Kerrygold"" Dubliner),","ons) paket keskin Çedar peyniri (Kerrygold"" Dubliner gibi),"
8461,sharp cheddar cheese rectangle,keskin çedar peyniri dikdörtgenler
8462,sharp mild cheddar cheese,keskin hafif kaşar peyniri
8463,sharp processed cheese spread,keskin işlenmiş peynir yayılması
8464,sharp provolone cheese,keskin provolon peyniri
8465,shaved bonito flake,traşlanmış palamut gevreği
8466,shaved chocolate,çikolata
8467,shaved coconut,traşlanmış hindistan cevizi
8468,shaved ice,traşlanmış buz
8469,shaved milk chocolate,sütlü çikolata
8470,shaved onion,traşlanmış soğan
8471,shaved parmesan cheese,parmesan peyniri
8472,shaved parmigiano reggiano cheese,parmigiano reggiano peyniri
8473,shaved pecorino romano cheese,pecorino romano peyniri
8474,shaved romano cheese,traşlanmış romano peyniri
8475,shaved semisweet chocolate,yarı tatlı çikolata
8476,shaved steak,traşlanmış biftek
8477,shaved truffle,traşlanmış trüf mantarı
8478,shaving,tıraş
8479,shawarma seasoning,shawarma baharatı
8480,shea butter,shea yağı
8481,sheep milk feta cheese,koyun sütü beyaz peynir
8482,sheep milk ricotta cheese,koyun sütü ricotta peyniri
8483,sheet,çarşaf
8484,sheet puff pastry,yaprak puf böreği
8485,shelf stable gnocchi,rafa dayanıklı gnocchi
8486,shell,kabuk
8487,shell from shrimp,karides kabuğu
8488,shell macaroni,kabuklu makarna
8489,shell on jumbo shrimp,jumbo karidesin kabuğu
8490,shell on shrimp,karides kabuğu
8491,shell pasta,kabuklu makarna
8492,shell shaped pasta,kabuk şeklinde makarna
8493,shelled,kabuklu
8494,shelled almond,kabuklu badem
8495,shelled bean,kabuklu fasulye
8496,shelled edamame,kabuklu edamame
8497,shelled english pea,kabuklu İngilizce bezelye
8498,shelled hazelnut,kabuklu fındık
8499,shelled hemp seed,kabuklu kenevir tohumu
8500,shelled pea,kabuklu bezelye
8501,shelled peanut,kabuklu fıstık
8502,shelled pecan,kabuklu ceviz
8503,shelled pecan halve,kabuklu cevizli yarım
8504,shelled pepita,kabuklu pepita
8505,shelled pistachio,kabuklu fıstık
8506,shelled pistachio nut,kabuklu fıstık
8507,shelled pumpkin seed,kabuklu kabak
8508,shelled pumpkin seeds,kabuklu kabak
8509,shelled salted peanut,kabuklu tuzlu fıstık
8510,shelled shrimp,kabuklu karides
8511,shelled soy bean,kabuklu soya fasulyesi
8512,shelled sunflower seed,kabuklu ayçiçeği tohumu
8513,shelled sunflower seeds,kabuklu ayçiçeği
8514,shelled unsalted,kabuklu tuzsuz
8515,shelled unsalted sunflower seed,kabuklu tuzsuz ayçiçeği tohumu
8516,shelled walnut,kabuklu ceviz
8517,shelled walnut halve,yarım kabuklu ceviz
8518,sherbet,şerbet
8519,shichimi togarashi,Shichimi togarashi
8520,shiitake mushroom,Şitaki mantarı
8521,shiitake mushroom cap,Şitaki mantarı kapağı
8522,shiitake mushroom powder,Şitake mantarı tozu
8523,shirataki noodle,shirataki şehriye
8524,shiro miso,Shiro Miso
8525,shishito pepper,şishito biberi
8526,shoe peg corn,ayakkabı mandalı mısır
8527,shoepeg corn,ayakkabı mandalı mısır
8528,shoestring french fry,patates kızartması
8529,shoestring licorice,meyankökü
8530,shoestring potato,ayakkabılı patates
8531,shoestring potato fry,patates kızartması
8532,shoestring potato stick,bağcıklı patates çubuğu
8533,short grain rice,kısa taneli pirinç
8534,short grain sushi rice,kısa taneli suşi pirinci
8535,short rib,kısa kaburga
8536,short tube shaped ditalini pasta,kısa tüp şeklinde ditalini makarna
8537,shortbread cookie crumb,kurabiye kırıntısı
8538,shortbread cooky,Kurabiye kurabiyeleri
8539,shortbread pie crust,kurabiye pasta kabuğu
8540,shortcake,kurabiye
8541,shortening,kısaltma
8542,shortening butter,tereyağı kısaltma
8543,shortening frying,kızartmanın kısaltılması
8544,shortening vegetable oil,bitkisel yağın kısaltılması
8545,"shortening, chilled and cubed","katı yağ, soğutulmuş ve küp şeklinde"
8546,shoulder chop,omuz vuruşu
8547,shoulder roast,omuz kızartması
8548,shoulder venison roast,omuz geyik eti kızartması
8549,shoyu,şoyu
8550,shrimp,karides
8551,shrimp - and deveined,pound karides - ve ayrılmış
8552,shrimp bouillon,karides bulyon
8553,shrimp consomme,karides konservesi
8554,shrimp flavored ramen noodle,karides aromalı ramen şehriye
8555,shrimp in shell,kabuklu karides
8556,shrimp in the shell,kabuktaki karides
8557,shrimp meat,karides eti
8558,shrimp paste,karides ezmesi
8559,shrimp powder,karides tozu
8560,shrimp shell from shrimp,karidesten karides kabuğu
8561,shrimp shell on,karides kabuğu
8562,shrimp shelled,karides kabuklu
8563,shrimp stock,karides stoğu
8564,shrimp tail,karides kuyruğu
8565,shrimp tail intact,karides kuyruğu sağlam
8566,shrimp washed,karides
8567,"shrimp, and deveined","kiloluk karides, ve ayrılmış"
8568,shucked clam,deniz tarağı kabuğu
8569,shucked corn,kabuğu mısır
8570,shucked oyster,kabuğu istiridye
8571,shucked oyster liquor,ayıklanmış istiridye likörü
8572,sichuan pepper,Siçuan biberi
8573,sichuan peppercorn,Siçuan biberi
8574,sichuan peppercorn oil,Sichuan biber yağı
8575,side,taraf
8576,silken tofu,ipeksi tofu
8577,silver candy decorating dragee,gümüş şeker dekorasyon drajesi
8578,silver dragee decorating candy,gümüş draje dekorasyon şekeri
8579,simple syrup,basit şurup
8580,simply hash brown,sadece karma kahverengi
8581,simply mashed potato,sadece patates püresi
8582,simply seasoned plant based protein starter,basit bir şekilde tatlandırılmış bitki bazlı protein başlatıcı
8583,simply steam baby lima bean,sadece bebek lima fasulyesini buharda pişirin
8584,single crust pie,tek kabuklu pasta
8585,single pie crust,tek pasta kabuğu
8586,single serve ready made,tek porsiyon hazır
8587,sirloin,sığır filetosu
8588,sirloin (90/10,sığır filetosu
8589,sirloin beef,sığır filetosu
8590,sirloin london broil,sığır filetosu londra kızartma
8591,sirloin roast,sığır filetosu kızartma
8592,sirloin steak,sığır filetosu biftek
8593,sirloin steak tip,sığır filetosu biftek ipucu
8594,sirloin tip,sığır filetosu ucu
8595,sirloin tip roast,sığır filetosu kızartması
8596,sirloin tip steak,sığır filetosu biftek
8597,sirloin tri tip,sığır filetosu üçlü ipucu
8598,sirloin turkey,sığır filetosu hindi
8599,size bar chocolate coated caramel peanut nougat candy,boyut bar çikolata kaplı karamelli fıstık nuga şekeri
8600,size bar chocolate covered crispy peanut butter candy,boy bar çikolata kaplı çıtır fıstık ezmeli şeker
8601,size flour tortilla,boyut un tortilla
8602,size tea,boyutu çay
8603,sized,bira bardağı büyüklüğünde
8604,sized rice noodle,büyüklüğünde pirinç şehriye
8605,skate wing,paten kanadı
8606,skewer,şiş
8607,skewer soaked in water,suya batırılmış şiş
8608,skewers,şişler
8609,skim milk,süt
8610,skim milk powder,süt tozu
8611,"skim milk, or as needed",süt veya gerektiği gibi
8612,skin on,derisi açık
8613,skin on bone in whole chicken leg,bütün tavuk budunda kemik üzerinde deri
8614,skin on chicken,tavuk derisi
8615,skin on chicken breast,tavuk göğsü derisi
8616,skin on chicken thigh,tavuk uyluk derisi
8617,skin on cod,morina derisi
8618,skin on mahi mahi fillet,mahi mahi filetosunun derisi
8619,skin on potato,patatesin derisi
8620,skin on salmon,ons) derili somon filetosu
8621,skin on salmon fillet,somon fileto derisi
8622,skin on snapper fillet,balığı filetosunun derisi
8623,skin potato,deri patates
8624,skinned,derisi yüzülmüş
8625,skinned boned salmon,derisi somon balığı
8626,skinned pepper,kabuklu biber
8627,skinned potato,derisi patates
8628,skinned salmon fillet,derili somon fileto
8629,skinned split lentil,kabuğu bölünmüş mercimek
8630,skirt steak,etek biftek
8631,skirt steak trimmed,etek biftek kesilmiş
8632,skyr,gökyüzü
8633,slaw,lahana salatası
8634,slaw mix,lahana karışımı
8635,slender asparagu spear,kuşkonmaz mızrağı
8636,slice,dilim
8637,slice additional feta,ilave beyaz peynir dilimleyin
8638,slice american cheese,Amerikan peynirini dilimle
8639,slice baguette slice,baget dilimi
8640,slice bakery style bread,fırın usulü ekmek dilimle
8641,slice beef shank,dana sapını dilimle
8642,slice bell pepper,dolmalık biberi dilimle
8643,slice bread,ekmek
8644,slice brie cheese,brie peynirini dilimle
8645,slice brioche bread,brioche ekmeğini dilimle
8646,slice candy,şeker
8647,slice canned pineapple,konserve ananas
8648,slice challah bread,challah ekmeğini dilimle
8649,slice cheddar cheese,kaşar peynirini dilimle
8650,slice chocolate babka,çikolatalı babkayı dilimle
8651,slice crusty bread,çıtır ekmek dilimle
8652,slice cucumber,salatalık
8653,slice day old bread crust removed,günlük ekmek kabuğu çıkarıldı
8654,slice day old french bread,bir günlük fransız ekmeğini dilimle
8655,slice day old sourdough french bread,eski ekşi mayalı fransız ekmeği
8656,slice dietz watson cheddar,dietz watson çedar peyniri
8657,slice english cucumber,ingilizce salatalık dilimle
8658,slice french baguette,fransız bagetini dilimle
8659,slice french bread,fransız ekmeğini dilimle
8660,slice galangal,havlıcan
8661,slice ginger,zencefil
8662,slice ginger root,zencefil kökü dilimle
8663,slice gruyere,gravyer dilimlemek
8664,slice hearth bread,ocak ekmeğini dilimle
8665,slice italian bread,İtalyan ekmeğini dilimle
8666,slice leftover prime rib,kalan prime kaburgayı dilimleyin
8667,slice lemon,limon
8668,slice meaty beef shank bone,etli dana incik kemiği
8669,slice monterey jack cheese,monterey jack peynirini dilimle
8670,slice mozzarella cheese,mozarella peynirini dilimle
8671,slice onion,soğan
8672,slice provolone cheese,provolon peynirini dilimle
8673,slice pumpkin,kabak
8674,slice raisin challah bread,kuru üzüm challah ekmeği
8675,slice sandwich bread,sandviç ekmeği
8676,slice slicing tomato,dilimleme domates
8677,slice slightly stale texa toast,dilim hafif bayat Teksas tostu
8678,slice sourdough bread,ekşi mayalı ekmeği dilimle
8679,slice stale bread,bayat ekmeği dilimle
8680,slice swiss cheese,İsviçre peynirini dilimleyin
8681,slice texa toast,Teksas tostunu dilimle
8682,slice tomato,domates
8683,slice triangular slice watermelon,üçgen dilim karpuz
8684,slice turkey lunch meat,hindi öğle yemeği etini dilimle
8685,slice veal shank,dana incik dilimlemek
8686,slice watermelon,karpuz
8687,slice whole grain bread,tam tahıllı ekmeği dilimle
8688,slice whole wheat bread,tam buğday ekmeğini dilimle
8689,sliceable sugar cooky,dilimlenebilir şekerli kurabiye
8690,slices egg bread (Challah,yumurtalı ekmek dilimle
8691,slices sweet onion (such as Vidalia®,medium slices sweet onion (such as Vidalia®
8692,slider bun,ons) paket kaymaklı çörek (Pepperidge Farm® gibi
8693,slider size burger bun,kaydırıcı boyutunda burger topuzu
8694,slider size roll,kaydırıcı boyutu rulosu
8695,slider sized burger bun,kaydırıcı büyüklüğünde burger topuzu
8696,slightly cornflake,biraz mısır gevreği
8697,slightly stale bread,biraz bayat ekmek
8698,slightly stale whole wheat bread,biraz bayat tam buğday ekmeği
8699,slightly water,biraz su
8700,slivered,şerit halinde
8701,slivered almond,badem
8702,slivered almond topping,şeritli badem tepesi
8703,slivered basil leave,fesleğen izni
8704,slivered ginger,zencefil
8705,slivered onion,soğan
8706,slivered shelled pistachio,kabuklu fıstık
8707,sloppy joe sauce,yarım yamalak joe sosu
8708,sloppy joe seasoning,özensiz joe baharatı
8709,sloppy joe seasoning mix,özensiz joe baharat karışımı
8710,slow cooker liner,yavaş pişirici astarı
8711,smallfajita super flour tortilla,küçükfajita süper un tortilla
8712,smoke flavored almond,duman aromalı badem
8713,smoked Edam cheese,füme Edam peyniri
8714,Smoked Gouda Chicken Sausage (such as Gilberts®,gouda tavuk sosisi
8715,smoked paprika,füme kırmızı biber
8716,smokehouse maple seasoning,tütsü akçaağaç baharatı
8717,smokehouse rub,tütsü odası ovmak
8718,smoky barbeque sauce,dumanlı barbekü sosu
8719,smoky mesquite seasoning,dumanlı mesquite baharatı
8720,smooth cashew butter,pürüzsüz kaju yağı
8721,smooth dijon mustard,pürüzsüz dijon hardalı
8722,smooth mustard,pürüzsüz hardal
8723,smooth natural peanut butter,pürüzsüz doğal fıstık ezmesi
8724,smooth peanut butter,pürüzsüz fıstık ezmesi
8725,smooth tomato sauce,pürüzsüz domates sosu
8726,smore baking,daha fazla pişirme
8727,snack chocolate pudding,atıştırmalık çikolatalı puding
8728,snack pretzel,aperatif çubuk kraker
8729,snap pea,bezelye
8730,snapper,balığı
8731,snapper fillet,çıtır fileto
8732,snipped apricot,kesilmiş kayısı
8733,snipped basil,kesilmiş fesleğen
8734,snipped chive,kesilmiş frenk soğanı
8735,snipped dill,dereotu
8736,snipped dill additional,dereotu ilave
8737,snipped dill leave,dereotu izni
8738,snipped dill weed,kesilmiş dereotu otu
8739,snipped mint,nane kırpılmış
8740,snipped oregano,kekik
8741,snipped parsley,maydanoz
8742,snipped thyme,kekik kesilmiş
8743,snipped thyme rosemary,kekik biberiye kesti
8744,snow,kar
8745,snow crab,kar yengeç
8746,snow crab cluster,kar yengeç kümesi
8747,snow crab leg,kar yengeç bacağı
8748,snow pea,kar bezelyesi
8749,snow pea pod,kar bezelye kabuğu
8750,snow peas,kar bezelyesi
8751,so dairy free cashew milk,yani süt içermeyen kaju sütü
8752,so dairy free hazelnut coconut milk creamer,yani süt içermeyen fındık hindistan cevizi sütü kreması
8753,so dairy free original culinary coconut milk,yani süt içermeyen orijinal mutfak hindistan cevizi sütü
8754,so dairy free unsweetened cashewmilk beverage,yani süt içermeyen şekersiz kaju sütü içeceği
8755,so dairy free unsweetened coconutmilk beverage,yani süt içermeyen şekersiz hindistan cevizi sütü içeceği
8756,so dairy free unsweetened vanilla cultured coconut milk,yani süt içermeyen şekersiz vanilya kültürlü hindistan cevizi sütü
8757,so dairy free vanilla coconut milk,yani süt içermeyen vanilya hindistan cevizi sütü
8758,soba,soba
8759,soba noodle,soba şehriye
8760,soda,soda
8761,soda cracker,soda kraker
8762,soda water,soda suyu
8763,sodium reduced chicken broth,sodyumu azaltılmış tavuk suyu
8764,sodium reduced cream mushroom soup,sodyumu azaltılmış kremalı mantar çorbası
8765,sodium reduced taco seasoning,sodyumu azaltılmış taco baharatı
8766,sofrito,sofrito
8767,sofrito sauce,sofrito sosu
8768,sole,ayak tabanı
8769,sole fillet,tek fileto
8770,solid albacore tuna in water,suda katı albacore ton balığı
8771,solid chocolate easter egg,katı çikolatalı paskalya yumurtası
8772,solid coconut oil,katı hindistan cevizi yağı
8773,solid pack pumpkin,katı paket kabak
8774,solid pack pumpkin puree,katı paket kabak püresi
8775,solid tuna,katı ton balığı
8776,solid tuna in water,suda katı ton balığı
8777,solid vegetable oil butter spread,katı bitkisel yağ tereyağı sürülmesi
8778,solid vegetable shortening,katı sebze kısaltması
8779,"solid white tuna packed in water,","ons) kutu katı beyaz ton balığı suya paketlenmiş, süzülmüş"
8780,solo garlic,yalnız sarımsak
8781,sorghum,sorgum
8782,sorghum flour,sorgum unu
8783,sorghum grain,sorgum tanesi
8784,sorghum molasse,sorgum pekmezi
8785,sorrel,Kuzukulağı
8786,sorrel bud,kuzukulağı tomurcuğu
8787,sottocenere,sotosenere
8788,sou vide vacuum,sou vide vakum
8789,soul seasoning,ruh baharatı
8790,soup,çorba
8791,soup bone,çorba kemiği
8792,sour cream,ekşi krema
8793,"sour cream, for garnish","Süslemek için 0,5 su bardağı ekşi krema"
8794,sourdough bread,ekşi mayalı ekmek
8795,sourdough bread crumb,ekşi mayalı ekmek kırıntısı
8796,sourdough bread cube,ekşi mayalı ekmek küpü
8797,sourdough french bread,ekşi mayalı fransız ekmeği
8798,sourdough starter,ekşi maya başlatıcı
8799,sourdough starter discard,ekşi maya başlangıç ​​atımı
8800,soured milk,ekşi süt
8801,southern comfort,güney konforu
8802,southern style flaky biscuit,güney tarzı lapa lapa bisküvi
8803,southern style hash potato,güney tarzı karma patates
8804,southwest chipotle seasoning,güneybatı chipotle baharatı
8805,southwest seasoning,güneybatı baharatı
8806,southwest style corn,güneybatı tarzı mısır
8807,southwest style corn pepper,güneybatı tarzı mısır biberi
8808,southwest style corn poblano pepper,güneybatı tarzı mısır poblano biberi
8809,southwest style hash brown,güneybatı tarzı karma kahverengi
8810,southwest vegetable,güneybatı sebze
8811,southwestern ancho chile seasoning,Güneybatı hamsi şili baharatı (Penzeys Arizona Dreaming gibi
8812,southwestern cheddar monterey jack cheese,güneybatı çedar monterey jack peyniri
8813,southwestern flavored pinto bean,güneybatı aromalı barbunya fasulyesi
8814,southwestern style bean,güneybatı tarzı fasulye
8815,southwestern style vegetable,güneybatı tarzı sebze
8816,soy based liquid seasoning,soya bazlı sıvı baharat
8817,soy based seasoning sauce,soya bazlı baharat sosu
8818,soy bean,soya fasulyesi
8819,soy burger style crumble,soya burgeri tarzı çökertme
8820,soy butter,soya yağı
8821,soy creamer,soya kreması
8822,soy flour,soya unu
8823,soy ginger salad dressing,soya zencefilli salata sosu
8824,soy margarine,soya margarini
8825,soy mayonnaise,soya mayonezi
8826,soy milk,soya sütü
8827,soy milk soy creamer,soya sütü soya kreması
8828,soy protein,soya proteini
8829,soy protein isolate,soya proteini izolatı
8830,soy protein powder,soya protein tozu
8831,soy sauce,soya sosu
8832,"soy sauce (such as Aloha"" Shoyu","soya sosu (Aloha"" Shoyu gibi"
8833,soy sauce flavored ramen noodle seasoning packet,soya sosu aromalı ramen şehriye baharat paketi
8834,soy sauce to,soya sosu
8835,soy yogurt,soya yoğurdu
8836,soya sauce,soya sosu
8837,soybean,soya fasulyesi
8838,soybean oil,soya fasulyesi yağı
8839,soybean sprout,soya fasulyesi filizi
8840,spaghetti,spagetti
8841,spaghetti capellini,spagetti capellini
8842,spaghetti linguine,spagetti makarna
8843,spaghetti meat sauce,spagetti et sosu
8844,spaghetti noodle,spagetti şehriye
8845,spaghetti sauce,spagetti sosu
8846,spaghetti sauce meat,spagetti soslu et
8847,spaghetti sauce mix,spagetti sosu karışımı
8848,spaghetti squash,spagetti kabak
8849,spaghettini,spagettini
8850,spam into inch slice,"ons) konteyner Spam"", 1/4 inç kalınlığında dilimler halinde"
